H_ID,var_x,var_y,expected_direction
H1,M_education,att_vaccines_importance,positive
H1,M_education,fivec_confidence,positive
H1,M_education,fivec_pro_vax_idx,positive
H1,M_education,covax_num,positive
H1,M_education,flu_vaccinated_pre_pandemic,positive
H1,M_education,flu_vaccinated_2020_2021,positive
H1,M_education,flu_vaccinated_2021_2022,positive
H1,M_education,flu_vaccinated_2022_2023,positive
H1,M_education,flu_vaccinated_2023_2024,positive

H2,age,flu_vaccinated_pre_pandemic,positive
H2,age,flu_vaccinated_2020_2021,positive
H2,age,flu_vaccinated_2021_2022,positive
H2,age,flu_vaccinated_2022_2023,positive
H2,age,flu_vaccinated_2023_2024,positive
H2,age,covid_severity_if_infected,positive
H2,age,flu_severity_if_infected,positive
H2,age,severity_if_infected_avg,positive
H2,age,protective_behaviour_avg,positive
H2,age,support_mandatory_vaccination,positive
H2,age,mask_when_pressure_high,positive
H2,age,mask_when_symptomatic_crowded,positive
H2,age,stay_home_when_symptomatic,positive
H2,age,covax_num,positive

H3,income_ppp_norm,fivec_constraints_raw,negative
H3,income_ppp_norm,fivec_low_constraints_rev,positive
H3,income_ppp_norm,booking,positive
H3,income_ppp_norm,vax_hub,positive
H3,income_ppp_norm,covax_num,positive
H3,income_ppp_norm,flu_vaccinated_pre_pandemic,positive
H3,income_ppp_norm,flu_vaccinated_2020_2021,positive
H3,income_ppp_norm,flu_vaccinated_2021_2022,positive
H3,income_ppp_norm,flu_vaccinated_2022_2023,positive
H3,income_ppp_norm,flu_vaccinated_2023_2024,positive
H3,M_income,fivec_constraints_raw,negative
H3,M_income,fivec_low_constraints_rev,positive
H3,M_income,booking,positive
H3,M_income,vax_hub,positive
H3,M_income,covax_num,positive

H4,region_final,covid_num,heterogeneous
H4,region_final,covax_num,heterogeneous
H4,region_final,contact_group_cohabitant,heterogeneous
H4,region_final,contact_group_noncohabitant,heterogeneous
H4,region_final,contact_group_colleagues,heterogeneous
H4,region_final,contact_group_friends,heterogeneous
H4,region_final,contact_group_others,heterogeneous
H4,region_final,transport,heterogeneous

H5,minority,trust_national_gov_vax_info,negative
H5,minority,trust_local_gov_vax_info,negative
H5,minority,institutional_trust_avg,negative
H5,minority,trust_gp_vax_info,none
H5,minority,trust_national_health_institutions_vax_info,none
H5,minority,trust_local_health_authorities_vax_info,none
H5,minority,trust_who_vax_info,none
H5,minority,covax_num,negative

H6,politics,progressive_attitudes_nonvax_idx,heterogeneous
H6,politics,att_vaccines_importance,heterogeneous
H6,politics,att_climate_harm,heterogeneous
H6,politics,att_lgbt_adoption_rights,heterogeneous
H6,politics,att_immigration_tolerance_rev,heterogeneous
H6,politics,protective_behaviour_avg,heterogeneous
H6,politics,support_mandatory_vaccination,heterogeneous

H7,politics,trust_national_gov_vax_info,heterogeneous
H7,politics,trust_local_gov_vax_info,heterogeneous
H7,politics,trust_national_health_institutions_vax_info,heterogeneous
H7,politics,trust_local_health_authorities_vax_info,heterogeneous
H7,politics,trust_who_vax_info,heterogeneous
H7,politics,institutional_trust_avg,heterogeneous
H7,politics,support_mandatory_vaccination,heterogeneous

H8,mfq_agreement_individualizing_idx,progressive_attitudes_nonvax_idx,positive
H8,mfq_agreement_individualizing_idx,att_vaccines_importance,positive
H8,mfq_agreement_individualizing_idx,att_climate_harm,positive
H8,mfq_agreement_individualizing_idx,protective_behaviour_avg,positive
H8,mfq_relevance_individualizing_idx,progressive_attitudes_nonvax_idx,positive
H8,mfq_relevance_individualizing_idx,att_vaccines_importance,positive
H8,mfq_agreement_individualizing_idx,fivec_pro_vax_idx,positive

H9,mfq_agreement_binding_idx,att_lgbt_adoption_rights,negative
H9,mfq_agreement_binding_idx,att_immigration_tolerance_rev,negative
H9,mfq_agreement_binding_idx,support_mandatory_vaccination,positive
H9,mfq_agreement_binding_idx,protective_behaviour_avg,positive
H9,mfq_agreement_authority_idx,support_mandatory_vaccination,positive
H9,mfq_agreement_authority_idx,trust_national_gov_vax_info,positive
H9,mfq_agreement_purity_idx,att_lgbt_adoption_rights,negative

H10,mfq_agreement_purity_idx,disease_fear_avg,positive
H10,mfq_agreement_purity_idx,covid_disease_fear,positive
H10,mfq_agreement_purity_idx,meningitis_disease_fear,positive
H10,mfq_agreement_purity_idx,vaccine_fear_avg,positive
H10,mfq_agreement_purity_idx,covid_vaccine_fear,positive
H10,mfq_relevance_purity_idx,disease_fear_avg,positive
H10,mfq_relevance_purity_idx,vaccine_fear_avg,positive

H11,duration_infomedia,knowledge_illness__measles,positive
H11,duration_infomedia,knowledge_illness__flu,positive
H11,duration_infomedia,knowledge_illness__covid_19,positive
H11,duration_infomedia,knowledge_illness__meningitis,positive
H11,duration_infomedia,knowledge_vax__herd_immunity_helps_reduce_the_spread_of_viruses,positive
H11,duration_infomedia,knowledge_vax__vaccines_have_eliminated_serious_diseases,positive
H11,duration_infomedia,fivec_confidence,positive
H11,duration_infomedia,fivec_pro_vax_idx,positive
H11,duration_infomedia,vaccine_safety_avg,positive
H11,duration_infomedia,vaccine_risk_avg,negative
H11,duration_infomedia,covax_num,positive
H11,duration_infomedia,flu_vaccinated_2023_2024,positive

H12,duration_socialmedia,institutional_trust_avg,negative
H12,duration_socialmedia,trust_traditional,negative
H12,duration_socialmedia,trust_social,positive
H12,duration_socialmedia,trust_influencers_vax_info,positive
H12,duration_socialmedia,fivec_confidence,heterogeneous
H12,duration_socialmedia,vaccine_risk_avg,heterogeneous
H12,duration_socialmedia,vaccine_fear_avg,heterogeneous

H13,vaccine_safety_avg,institutional_trust_avg,positive
H13,vaccine_safety_avg,trust_gp_vax_info,positive
H13,vaccine_safety_avg,trust_national_health_institutions_vax_info,positive
H13,vaccine_safety_avg,trust_local_health_authorities_vax_info,positive
H13,vaccine_safety_avg,trust_who_vax_info,positive
H13,vaccine_risk_avg,institutional_trust_avg,negative
H13,vaccine_risk_avg,trust_gp_vax_info,negative
H13,vaccine_risk_avg,trust_national_health_institutions_vax_info,negative
H13,vaccine_risk_avg,trust_local_health_authorities_vax_info,negative
H13,vaccine_risk_avg,trust_who_vax_info,negative
H13,vaccine_fear_avg,institutional_trust_avg,negative
H13,covid_vaccine_risk,institutional_trust_avg,negative
H13,covid_vaccine_fear,institutional_trust_avg,negative
H13,vaccine_comfort_avg,institutional_trust_avg,positive
H13,covid_vaccine_comfort,institutional_trust_avg,positive
H13,vaccine_safety_avg,info_trust_vax_print,positive
H13,vaccine_safety_avg,info_trust_vax_television,positive
H13,vaccine_safety_avg,info_trust_vax_online_news,positive
H13,vaccine_risk_avg,info_trust_vax_print,negative
H13,vaccine_risk_avg,info_trust_vax_television,negative
H13,vaccine_risk_avg,info_trust_vax_online_news,negative

H14,institutional_trust_avg,covax_num,positive
H14,institutional_trust_avg,flu_vaccinated_2023_2024,positive
H14,institutional_trust_avg,protective_behaviour_avg,positive
H14,institutional_trust_avg,support_mandatory_vaccination,positive
H14,institutional_trust_avg,mask_when_pressure_high,positive
H14,institutional_trust_avg,mask_when_symptomatic_crowded,positive
H14,institutional_trust_avg,stay_home_when_symptomatic,positive
H14,trust_gp_vax_info,covax_num,positive
H14,trust_gp_vax_info,protective_behaviour_avg,positive
H14,trust_national_health_institutions_vax_info,covax_num,positive
H14,trust_who_vax_info,covax_num,positive

H15,size_friend_group,vax_convo_count_friends,positive
H15,size_friend_group,vax_convo_freq_friends,positive
H15,size_colleagues_group,vax_convo_count_colleagues,positive
H15,size_colleagues_group,vax_convo_freq_colleagues,positive
H15,vax_convo_count_friends,covax_num,positive
H15,vax_convo_count_colleagues,covax_num,positive
H15,contact_group_friends,covax_num,positive
H15,discussion_group_friends,covax_num,positive

H16,cohabitant_age,covax_num,positive
H16,cohabitant_age,flu_vaccinated_2023_2024,positive
H16,cohabitant_age,protective_behaviour_avg,positive
H16,cohabitant_age,support_mandatory_vaccination,positive
H16,noncohabitant_age,covax_num,positive
H16,noncohabitant_age,protective_behaviour_avg,positive
H16,cohabitant_covax_num,covax_num,positive
H16,noncohabitant_covax_num,covax_num,positive

H17,vax_convo_freq_cohabitants,fivec_collective_responsibility,positive
H17,vax_convo_freq_cohabitants,protective_behaviour_avg,positive
H17,vax_convo_freq_friends,protective_behaviour_avg,positive
H17,vax_convo_freq_friends,support_mandatory_vaccination,positive
H17,vax_convo_freq_cohabitants,covax_num,positive
H17,vax_convo_freq_friends,covax_num,positive

H18,group_trust_vax,progressive_attitudes_nonvax_idx,positive
H18,group_trust_vax,friends_progressive_norms_nonvax_idx,positive
H18,group_trust_vax,family_progressive_norms_nonvax_idx,positive
H18,group_trust_vax,protective_behaviour_avg,positive
H18,group_trust_vax,covax_num,positive

H19,fivec_confidence,covax_num,positive
H19,fivec_confidence,flu_vaccinated_2023_2024,positive
H19,fivec_low_complacency_rev,covax_num,positive
H19,fivec_low_constraints_rev,covax_num,positive
H19,fivec_collective_responsibility,covax_num,positive
H19,fivec_pro_vax_idx,covax_num,positive
H19,fivec_pro_vax_idx,flu_vaccinated_2023_2024,positive
H19,fivec_pro_vax_idx,protective_behaviour_avg,positive
H19,fivec_pro_vax_idx,support_mandatory_vaccination,positive
H19,fivec_pro_vax_idx,mask_when_pressure_high,positive
H19,fivec_pro_vax_idx,stay_home_when_symptomatic,positive

H20,progressive_attitudes_nonvax_idx,att_vaccines_importance,positive
H20,progressive_attitudes_nonvax_idx,covax_num,positive
H20,progressive_attitudes_nonvax_idx,flu_vaccinated_2023_2024,positive
H20,progressive_attitudes_nonvax_idx,protective_behaviour_avg,positive
H20,progressive_attitudes_nonvax_idx,support_mandatory_vaccination,positive
H20,att_vaccines_importance,covax_num,positive
H20,att_climate_harm,protective_behaviour_avg,positive
H20,att_lgbt_adoption_rights,protective_behaviour_avg,positive
H21,family_progressive_norms_nonvax_idx,progressive_attitudes_nonvax_idx,positive
H21,friends_progressive_norms_nonvax_idx,progressive_attitudes_nonvax_idx,positive
H21,colleagues_progressive_norms_nonvax_idx,progressive_attitudes_nonvax_idx,positive
H21,family_progressive_norms_nonvax_idx,covax_num,positive
H21,friends_progressive_norms_nonvax_idx,covax_num,positive
H21,family_progressive_norms_nonvax_idx,protective_behaviour_avg,positive
H21,friends_progressive_norms_nonvax_idx,protective_behaviour_avg,positive
H22,opinion_change_vaccines_importance,att_vaccines_importance,positive
