signal_block,signal_block_label,signal_item
constraints_access,Constraints and access,booking_access_improves
constraints_access,Constraints and access,booking_access_worsens
disease_stakes_salience,Disease stakes salience,health_deterioration
constraints_access,Constraints and access,impediment_off
constraints_access,Constraints and access,impediment_on
disease_stakes_salience,Disease stakes salience,severe_illness_vicarious
vaccine_risk_cost_salience,Vaccine risk and cost salience,side_effects_other_vicarious
vaccine_risk_cost_salience,Vaccine risk and cost salience,side_effects_self
institutional_credibility,Institutional credibility,trust_gp_vax_info_shift
institutional_credibility,Institutional credibility,trust_gp_vax_info_shift_down
institutional_credibility,Institutional credibility,trust_national_gov_vax_info_shift
institutional_credibility,Institutional credibility,trust_national_gov_vax_info_shift_down
information_environment_credibility,Information environment credibility,trust_onlineinfo_shift
information_environment_credibility,Information environment credibility,trust_onlineinfo_shift_down
interpersonal_channel,Interpersonal channel,trust_social_shift
interpersonal_channel,Interpersonal channel,trust_social_shift_down
information_environment_credibility,Information environment credibility,trust_traditional_shift
information_environment_credibility,Information environment credibility,trust_traditional_shift_down
institutional_credibility,Institutional credibility,trust_who_vax_info_shift
institutional_credibility,Institutional credibility,trust_who_vax_info_shift_down
interpersonal_channel,Interpersonal channel,vax_conversation_freq_drop
interpersonal_channel,Interpersonal channel,vax_conversation_freq_shift
constraints_access,Constraints and access,vax_hub_access_improves
constraints_access,Constraints and access,vax_hub_access_worsens
