equation_family,ref_model,outcome,state_target,model_group,model_type,description,variable,block,block_label,variable_role
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),age,controls_demography_SES,Controls,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),income_ppp_norm,controls_demography_SES,Controls,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),minority,controls_demography_SES,Controls,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),M_religion,controls_demography_SES,Controls,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),trust_gp_vax_info,trust_engine,Institutional trust,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),trust_local_health_authorities_vax_info,trust_engine,Institutional trust,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),trust_national_gov_vax_info,trust_engine,Institutional trust,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),trust_social,information_environment_engine,Information environment,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),trust_traditional,information_environment_engine,Information environment,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),duration_socialmedia,information_environment_engine,Information environment,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),duration_infomedia,information_environment_engine,Information environment,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),booking,accessibility_engine,Accessibility,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),vax_hub,accessibility_engine,Accessibility,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),impediment,accessibility_engine,Accessibility,predictor
state,P_5C_fivec_low_constraints_rev_REF,fivec_low_constraints,fivec_low_constraints,P_5C,linear,fivec_low_constraints component (ref: reduced blocks; LOBO-guided),social_norms_vax_avg,norms_engine,Norms,predictor
