block,block_label,column,used_in_ref
controls_demography_SES,Controls,M_education,yes
controls_demography_SES,Controls,M_religion,yes
controls_demography_SES,Controls,age,yes
controls_demography_SES,Controls,born_in_residence_country,no
controls_demography_SES,Controls,income_ppp_norm,yes
controls_demography_SES,Controls,minority,yes
controls_demography_SES,Controls,parent_born_abroad,no
controls_demography_SES,Controls,sex_female,yes
disposition_engine,Disposition (5C),fivec_collective_responsibility,yes
disposition_engine,Disposition (5C),fivec_confidence,yes
disposition_engine,Disposition (5C),fivec_low_complacency,yes
disposition_engine,Disposition (5C),fivec_low_constraints,yes
disposition_engine,Disposition (5C),fivec_pro_vax_idx,yes
habit_engine,Habit,covax_num,no
habit_engine,Habit,flu_vaccinated_2020_2021,yes
habit_engine,Habit,flu_vaccinated_2021_2022,yes
habit_engine,Habit,flu_vaccinated_2022_2023,yes
habit_engine,Habit,flu_vaccinated_pre_pandemic,yes
health_history_engine,Health history,covid_num,no
health_history_engine,Health history,exper_illness,no
health_history_engine,Health history,health_good,no
health_history_engine,Health history,medical_conditions_c,no
health_history_engine,Health history,side_effects,no
health_history_engine,Health history,side_effects_other,no
ideology_engine,ideology_engine,politics,no
information_environment_engine,Information environment,duration_infomedia,no
information_environment_engine,Information environment,duration_socialmedia,no
information_environment_engine,Information environment,trust_onlineinfo,no
information_environment_engine,Information environment,trust_social,no
information_environment_engine,Information environment,trust_traditional,no
legitimacy_engine,CoVax Legitimacy,covax_legitimacy_scepticism_idx,yes
missingness,missingness,M_religion_missing,yes
missingness,missingness,colleagues_climate_harm_missing,no
missingness,missingness,colleagues_immigration_tolerance_missing,no
missingness,missingness,colleagues_lgbt_adoption_rights_missing,no
missingness,missingness,colleagues_progressive_norms_nonvax_idx_missing,yes
missingness,missingness,exper_illness_missing,no
missingness,missingness,family_climate_harm_missing,no
missingness,missingness,family_immigration_tolerance_missing,no
missingness,missingness,family_lgbt_adoption_rights_missing,no
missingness,missingness,family_progressive_norms_nonvax_idx_missing,yes
missingness,missingness,flu_severity_if_infected_missing,no
missingness,missingness,flu_vaccinated_2020_2021_missing,yes
